Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Pitching Machine Cylinder,Untagged,2.2774,2.6885,-33.2894,True,Wall,Untagged,0.9438,3.3711,-19.2000
0.0117,True,Pitching Machine Cylinder,Untagged,2.2853,2.6934,-33.2852,True,Wall,Untagged,0.9598,3.3801,-19.2000
0.0222,True,Pitching Machine Cylinder,Untagged,2.2936,2.6936,-33.2808,True,Wall,Untagged,0.9767,3.3796,-19.2000
0.0332,True,Pitching Machine Cylinder,Untagged,2.3041,2.6915,-33.2748,True,Wall,Untagged,0.9981,3.3740,-19.2000
0.0443,True,Pitching Machine Cylinder,Untagged,2.3184,2.6746,-33.2663,True,Wall,Untagged,1.0270,3.3384,-19.2000
0.0556,True,Pitching Machine Cylinder,Untagged,2.3542,2.6617,-33.2351,True,Wall,Untagged,1.0990,3.3086,-19.2000
0.0666,True,Pitching Machine Cylinder,Untagged,2.3579,2.6585,-33.2309,True,Wall,Untagged,1.1064,3.3012,-19.2000
0.0779,True,Pitching Machine Cylinder,Untagged,2.3628,2.6544,-33.2250,True,Wall,Untagged,1.1162,3.2917,-19.2000
0.0889,True,Pitching Machine Cylinder,Untagged,2.3354,2.6500,-33.2520,True,Wall,Untagged,1.0617,3.2851,-19.2000
0.0999,True,Pitching Machine Cylinder,Untagged,2.2804,2.6166,-33.2824,True,Wall,Untagged,0.9509,3.2195,-19.2000
0.1113,True,Pitching Machine Cylinder,Untagged,2.2858,2.6468,-33.2849,True,Wall,Untagged,0.9619,3.2809,-19.2000
0.1223,True,Pitching Machine Cylinder,Untagged,2.2942,2.6405,-33.2797,True,Wall,Untagged,0.9789,3.2674,-19.2000
0.1334,True,Pitching Machine Cube,Untagged,2.4550,2.6687,-33.1200,True,Pitching Machine Cube,Untagged,1.7725,2.6791,-33.1200
0.1443,True,Wall,Untagged,2.9258,3.3080,-19.2000,True,Pitching Machine Cube,Untagged,1.8671,2.6891,-33.1200
0.1558,True,Wall,Untagged,2.9288,3.2956,-19.2000,True,Pitching Machine Cube,Untagged,1.8686,2.6826,-33.1200
0.1671,True,Wall,Untagged,2.9430,3.3563,-19.2000,True,Pitching Machine Cube,Untagged,1.8756,2.7125,-33.1200
0.1793,True,Wall,Untagged,2.9423,3.3451,-19.2000,True,Pitching Machine Cube,Untagged,1.8752,2.7066,-33.1200
0.1890,True,Wall,Untagged,2.9394,3.3289,-19.2000,True,Pitching Machine Cube,Untagged,1.8737,2.6983,-33.1200
0.2004,True,Wall,Untagged,2.9317,3.3674,-19.2000,True,Pitching Machine Cube,Untagged,1.8698,2.7175,-33.1200
0.2116,True,Wall,Untagged,2.9301,3.3630,-19.2000,True,Pitching Machine Cube,Untagged,1.8690,2.7151,-33.1200
0.2230,True,Wall,Untagged,2.9805,3.3520,-19.2000,True,Pitching Machine Cube,Untagged,1.8941,2.7098,-33.1200
0.2341,True,Wall,Untagged,2.9804,3.3421,-19.2000,True,Pitching Machine Cube,Untagged,1.8940,2.7048,-33.1200
0.2451,True,Wall,Untagged,2.9801,3.4224,-19.2000,True,Pitching Machine Cube,Untagged,1.8937,2.7448,-33.1200
0.2563,True,Wall,Untagged,2.9758,3.4212,-19.2000,True,Pitching Machine Cube,Untagged,1.8916,2.7440,-33.1200
0.2670,True,Wall,Untagged,2.9721,3.4395,-19.2000,True,Pitching Machine Cube,Untagged,1.8897,2.7529,-33.1200
0.2785,True,Pitching Machine Cube,Untagged,2.5343,2.7431,-33.1200,True,Pitching Machine Cube,Untagged,1.8514,2.7521,-33.1200
0.2896,True,Pitching Machine Cube,Untagged,2.5325,2.7485,-33.1200,True,Pitching Machine Cube,Untagged,1.8496,2.7575,-33.1200
0.3008,True,Wall,Untagged,2.9290,3.4633,-19.2000,True,Pitching Machine Cube,Untagged,1.8682,2.7652,-33.1200
0.3118,True,Wall,Untagged,2.9244,3.4626,-19.2000,True,Pitching Machine Cube,Untagged,1.8659,2.7650,-33.1200
0.3234,True,Wall,Untagged,2.9240,3.4717,-19.2000,True,Pitching Machine Cube,Untagged,1.8656,2.7696,-33.1200
0.3340,True,Wall,Untagged,2.9762,3.5936,-19.2000,True,Pitching Machine Cube,Untagged,1.8914,2.8310,-33.1200
0.3452,True,Wall,Untagged,2.9680,3.6042,-19.2000,True,Pitching Machine Cube,Untagged,1.8873,2.8366,-33.1200
0.3565,True,Wall,Untagged,2.9518,3.6130,-19.2000,True,Pitching Machine Cube,Untagged,1.8792,2.8417,-33.1200
0.3673,True,Wall,Untagged,2.9330,3.6430,-19.2000,True,Pitching Machine Cube,Untagged,1.8698,2.8569,-33.1200
0.3785,True,Wall,Untagged,2.9992,3.6483,-19.2000,True,Pitching Machine Cube,Untagged,1.9027,2.8600,-33.1200
0.3899,True,Wall,Untagged,2.9776,3.5661,-19.2000,True,Pitching Machine Cube,Untagged,1.8920,2.8194,-33.1200
0.4012,True,Wall,Untagged,2.9562,3.5681,-19.2000,True,Pitching Machine Cube,Untagged,1.8814,2.8209,-33.1200
0.4119,True,Wall,Untagged,2.9309,3.5209,-19.2000,True,Pitching Machine Cube,Untagged,1.8688,2.7979,-33.1200
0.4238,True,Pitching Machine Cube,Untagged,2.5424,2.7875,-33.1200,True,Pitching Machine Cube,Untagged,1.8593,2.8012,-33.1200
0.4346,True,Pitching Machine Cube,Untagged,2.5218,2.7886,-33.1200,True,Pitching Machine Cube,Untagged,1.8387,2.8028,-33.1200
0.4454,True,Wall,Untagged,3.0023,3.5297,-19.2000,True,Pitching Machine Cube,Untagged,1.9042,2.8040,-33.1200
0.4566,True,Wall,Untagged,2.9817,3.5298,-19.2000,True,Pitching Machine Cube,Untagged,1.8939,2.8045,-33.1200
0.4678,True,Pitching Machine Cube,Untagged,2.5312,2.8245,-33.1200,True,Pitching Machine Cube,Untagged,1.8479,2.8396,-33.1200
0.4793,True,Pitching Machine Cube,Untagged,2.5198,2.8289,-33.1200,True,Pitching Machine Cube,Untagged,1.8365,2.8442,-33.1200
0.4900,True,Wall,Untagged,2.9250,3.6974,-19.2000,True,Pitching Machine Cube,Untagged,1.8653,2.8884,-33.1200
0.5015,True,Wall,Untagged,3.0011,3.6285,-19.2000,True,Pitching Machine Cube,Untagged,1.9033,2.8542,-33.1200
0.5122,True,Wall,Untagged,2.9850,3.6334,-19.2000,True,Pitching Machine Cube,Untagged,1.8952,2.8568,-33.1200
0.5238,True,Wall,Untagged,2.9775,3.6104,-19.2000,True,Pitching Machine Cube,Untagged,1.8915,2.8451,-33.1200
0.5348,True,Wall,Untagged,2.9857,3.5585,-19.2000,True,Pitching Machine Cube,Untagged,1.8956,2.8194,-33.1200
0.5459,True,Wall,Untagged,2.9747,3.5236,-19.2000,True,Pitching Machine Cube,Untagged,1.8902,2.8021,-33.1200
0.5569,True,Wall,Untagged,3.0514,3.5124,-19.2000,True,Pitching Machine Cube,Untagged,1.9283,2.7965,-33.1200
0.5679,True,Wall,Untagged,3.0392,3.5066,-19.2000,True,Pitching Machine Cube,Untagged,1.9223,2.7937,-33.1200
0.5790,True,Wall,Untagged,3.0253,3.4924,-19.2000,True,Pitching Machine Cube,Untagged,1.9154,2.7866,-33.1200
0.5901,True,Wall,Untagged,3.0394,3.5402,-19.2000,True,Pitching Machine Cube,Untagged,1.9224,2.8107,-33.1200
